Address,PatternWritten,ReadbackValues,Tags
0x00000004,55555555,"eeb6cffff|eeb6caaaa|eeb6caaaa|eeb6caaaa|eeb6caaaa","NEAR-LAG-2 (exp:FFFFFFFF,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)"
0x00000004,DEADBEEF,"eeb6caaaa|eeb6c5555|eeb6c5555|eeb6c5555|eeb6c5555","NEAR-LAG-2 (exp:AAAAAAAA,hd:6)|FAIL|FAIL|FAIL|FAIL"
0x00000004,CAFEBABE,"eeb6c5555|eeb6cbeef|eeb6cbeef|eeb6cbeef|eeb6cbeef","FAIL|NEAR-LAG-1 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:DEADBEEF,hd:7)"
0x00000004,12345678,"eeb6cbeef|eeb6cbabe|eeb6cbabe|eeb6cbabe|eeb6cbabe","NEAR-LAG-2 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)"
0x00000004,87654321,"eeb6cbabe|eeb6c5678|eeb6c5678|eeb6c5678|eeb6c5678","NEAR-LAG-2 (exp:CAFEBABE,hd:5)|FAIL|FAIL|FAIL|FAIL"
0x00000004,F0F0F0F0,"eeb6c5678|eeb6c4321|eeb6c4321|eeb6c4321|eeb6c4321","FAIL|NEAR-LAG-1 (exp:87654321,hd:6)|NEAR-LAG-1 (exp:87654321,hd:6)|NEAR-LAG-1 (exp:87654321,hd:6)|NEAR-LAG-1 (exp:87654321,hd:6)"
0x00000004,0F0F0F0F,"eeb6c4321|eeb6cf0f0|eeb6cf0f0|eeb6cf0f0|eeb6cf0f0","NEAR-LAG-2 (exp:87654321,hd:6)|FAIL|FAIL|FAIL|FAIL"
0x00000004,B9125134,"eeb6cf0f0|eeb6c0f0f|eeb6c0f0f|eeb6c0f0f|eeb6c0f0f","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,F6108000,"eeb6c0f0f|eeb6c5134|eeb6c5134|eeb6c5134|eeb6c5134","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,D9285A15,"eeb6c5134|eeb6c8000|eeb6c8000|eeb6c8000|eeb6c8000","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,BB93024A,"eeb6c8000|eeb6c5a15|eeb6c5a15|eeb6c5a15|eeb6c5a15","FAIL|NEAR-LAG-1 (exp:D9285A15,hd:5)|NEAR-LAG-1 (exp:D9285A15,hd:5)|NEAR-LAG-1 (exp:D9285A15,hd:5)|NEAR-LAG-1 (exp:D9285A15,hd:5)"
